,Body,labels
0,Bugis oso near wat...,Personal
1,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",Personal
2,I dunno until when... Lets go learn pilates...,Personal
3,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat...",Personal
4,Meet after lunch la...,Personal
5,m walking in citylink now  faster come down... Me very hungry...,Personal
6,5 nights...We nt staying at port step liao...Too ex,Personal
7,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,Personal
8,"Yun ah.the ubi one say if  wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.?n",Personal
9,Hey tmr maybe can meet you at yck,Personal
10,Oh...i asked for fun. Haha...take care. ,Personal
11,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,Personal
12,t finish my film yet...,Personal
13,m having dinner with my cousin...,Personal
14,Oh... Kay... On sat right?,Personal
15,I need... Coz i never go before,Personal
16,s a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,Personal
17,I am going to sao mu today. Will be done only at 12,Personal
18,Hey gals...U all wanna meet 4 dinner at nte?,Personal
19,Jos ask if u wana meet up?,Personal
20,Haiyoh... Maybe your hamster was jealous of million,Personal
21,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,Personal
22,ve booked the pilates and yoga lesson already... Haha,Personal
23,Yup... I havent been there before... You want to go for the yoga? I can call up to book,Personal
24,K... Must book a not huh? so going for yoga basic on sunday?,Personal
25,Hey so this sat are we going for the intro pilates only? Or the kickboxing too?,Personal
26,Sat right? Okay thanks...,Personal
27,Yup... From what i remb... I think should be can book...,Personal
28,m going to get specs. My membership is PX3748,Personal
29,We can go 4 e normal pilates after our intro...,Personal
30,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...,Personal
31,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...",Personal
32,"Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...",Personal
33,Wah... Okie okie... Muz make use of e unlimited... Haha...,Personal
34,ll go yan jiu den msg u...,Personal
35,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",Personal
36,"ll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...",Personal
37,Nope... Juz off from work...,Personal
38,Oh oh... Wasted... Den muz chiong on sat n sun liao...,Personal
39,"Haha... Sounds crazy, dunno can tahan anot...",Personal
40,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",Personal
41,"Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...",Personal
42,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",Personal
43,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..",Personal
44,"s ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...",Personal
45,Oh oh... Den muz change plan liao... Go back have to yan jiu again...,Personal
46,s nt much lesson to go if we attend kb on sat...,Personal
47,Den wat will e schedule b lk on sun?,Personal
48,Eh den sat u book e kb liao huh...,Personal
49,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke,Personal
50,Yup... Ok i go home look at the timings then i msg  again... Xuhui going to learn on 2nd may too but her lesson is at 8am,Personal
51,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging,Personal
52,Hey... are you going to quit soon? Xuhui and i working till end of the month,Personal
53,s a kb lesson tonight,Personal
54,Hey so whats the plan this sat?,Personal
55,ve woken up...,Personal
56,Hey i will be late ah... Meet you at 945+,Personal
57,Hey tmr meet at bugis 930 ?,Personal
58,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel,Personal
59,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again,Personal
60,ve booked the 2 lessons on sun liao...,Personal
61,"Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...",Personal
62,Oh... Okie lor...We go on sat...,Personal
63,"Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...",Personal
64,"ll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...",Personal
65,"m still sleepin, haha... Okie, u go home liao den confirm w me lor...",Personal
66,"m nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...",Personal
67,m eatin too much n puttin on weight...Haha... So anythin special happened?,Personal
68,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...,Personal
69,"m eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",Personal
70,Goin to workout lor... Muz lose e fats...,Personal
71,ve oredi booked slots 4 my weekends liao...,Personal
72,"I noe la... U wana pei bf oso rite... K lor, other days den...",Personal
73,U meet other fren dun wan meet me ah... Muz b a guy rite...,Personal
74,"Oh... Icic... K lor, den meet other day...",Personal
75,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.",Personal
76,U attend ur driving lesson how many times a wk n which day?,Personal
77,Ay wana meet on sat? wkg on sat?,Personal
78,Shopping? Eh ger i toking abt syd leh...Haha,Personal
